Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
CITROM UTCA,stimuli/scenes/058a.jpg,scene,right,Hippopolis,1,stimuli/scenes/071a.jpg,stimuli/scenes/071a.jpg,stimuli/scenes/071b.jpg,stimuli/scenes/015b.jpg,stimuli/scenes/015a.jpg,target,lure,dist2,dist1
SZOMSZÉD UTCA,stimuli/scenes/025a.jpg,scene,right,Hippopolis,2,stimuli/objects/071a.jpg,stimuli/scenes/091a.jpg,stimuli/objects/071b.jpg,stimuli/scenes/091b.jpg,stimuli/objects/071a.jpg,dist1,lure,dist2,target
KÁRTYA UTCA,stimuli/objects/027a.jpg,object,left,Hippopolis,2,stimuli/scenes/011a.jpg,stimuli/objects/070b.jpg,stimuli/objects/070a.jpg,stimuli/scenes/011b.jpg,stimuli/scenes/011a.jpg,dist2,dist1,lure,target
SZŐNYEG UTCA,stimuli/scenes/075a.jpg,scene,right,Hippopolis,1,stimuli/scenes/105a.jpg,stimuli/scenes/097a.jpg,stimuli/scenes/097b.jpg,stimuli/scenes/105b.jpg,stimuli/scenes/105a.jpg,dist1,dist2,lure,target
TELEP UTCA,stimuli/objects/110a.jpg,object,left,Hippopolis,1,stimuli/objects/118a.jpg,stimuli/objects/062b.jpg,stimuli/objects/118b.jpg,stimuli/objects/118a.jpg,stimuli/objects/062a.jpg,dist2,lure,target,dist1
KECSKE UTCA,stimuli/objects/107a.jpg,object,left,Hippopolis,1,stimuli/objects/019a.jpg,stimuli/objects/019b.jpg,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/objects/019a.jpg,lure,dist1,dist2,target
FEJSZE UTCA,stimuli/objects/073a.jpg,object,left,Hippopolis,1,stimuli/objects/062a.jpg,stimuli/scenes/117a.jpg,stimuli/objects/062b.jpg,stimuli/objects/062a.jpg,stimuli/scenes/117b.jpg,dist1,lure,target,dist2
LÉTRA UTCA,stimuli/objects/086a.jpg,object,left,Hippopolis,0,stimuli/objects/086a.jpg,stimuli/scenes/023a.jpg,stimuli/objects/086a.jpg,stimuli/scenes/023b.jpg,stimuli/objects/086b.jpg,dist1,target,dist2,lure
TOBOZ UTCA,stimuli/objects/088a.jpg,object,left,Hippopolis,1,stimuli/objects/068a.jpg,stimuli/scenes/111b.jpg,stimuli/objects/068b.jpg,stimuli/objects/068a.jpg,stimuli/scenes/111a.jpg,dist2,lure,target,dist1
AJÁNDÉK UTCA,stimuli/scenes/002a.jpg,scene,right,Hippopolis,1,stimuli/scenes/040a.jpg,stimuli/scenes/040b.jpg,stimuli/scenes/040a.jpg,stimuli/objects/085b.jpg,stimuli/objects/085a.jpg,lure,target,dist2,dist1
