Cue,Image,Category,CorrectResponse,CityName,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type
SIRÁLY UTCA,stimuli/objects/070a.jpg,object,left,Hippopolis,2,stimuli/scenes/103a.jpg,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/scenes/103a.jpg,stimuli/scenes/103b.jpg,dist1,dist2,target,lure
BÖGRE UTCA,stimuli/objects/043a.jpg,object,left,Hippopolis,0,stimuli/objects/043a.jpg,stimuli/objects/043b.jpg,stimuli/objects/043a.jpg,stimuli/scenes/107b.jpg,stimuli/scenes/107a.jpg,lure,target,dist2,dist1
TORONY UTCA,stimuli/objects/017a.jpg,object,left,Hippopolis,0,stimuli/objects/017a.jpg,stimuli/objects/034b.jpg,stimuli/objects/017a.jpg,stimuli/objects/017b.jpg,stimuli/objects/034a.jpg,dist2,target,lure,dist1
PADLÓ UTCA,stimuli/scenes/070a.jpg,scene,right,Hippopolis,1,stimuli/scenes/038a.jpg,stimuli/scenes/096b.jpg,stimuli/scenes/038b.jpg,stimuli/scenes/038a.jpg,stimuli/scenes/096a.jpg,dist2,lure,target,dist1
CITROM UTCA,stimuli/scenes/119a.jpg,scene,right,Hippopolis,1,stimuli/scenes/005a.jpg,stimuli/scenes/005a.jpg,stimuli/scenes/083b.jpg,stimuli/scenes/083a.jpg,stimuli/scenes/005b.jpg,target,dist2,dist1,lure
TOJÁS UTCA,stimuli/scenes/014a.jpg,scene,right,Hippopolis,0,stimuli/scenes/014a.jpg,stimuli/scenes/092a.jpg,stimuli/scenes/092b.jpg,stimuli/scenes/014b.jpg,stimuli/scenes/014a.jpg,dist1,dist2,lure,target
VÖDÖR UTCA,stimuli/scenes/109a.jpg,scene,right,Hippopolis,1,stimuli/scenes/055a.jpg,stimuli/scenes/055a.jpg,stimuli/scenes/055b.jpg,stimuli/scenes/050b.jpg,stimuli/scenes/050a.jpg,target,lure,dist2,dist1
KERET UTCA,stimuli/scenes/011a.jpg,scene,right,Hippopolis,1,stimuli/scenes/062a.jpg,stimuli/scenes/062b.jpg,stimuli/objects/104a.jpg,stimuli/scenes/062a.jpg,stimuli/objects/104b.jpg,lure,dist1,target,dist2
KULLANCS UTCA,stimuli/objects/085a.jpg,object,left,Hippopolis,1,stimuli/objects/067a.jpg,stimuli/objects/067a.jpg,stimuli/objects/075a.jpg,stimuli/objects/067b.jpg,stimuli/objects/075b.jpg,target,dist1,lure,dist2
TELEP UTCA,stimuli/objects/045a.jpg,object,left,Hippopolis,0,stimuli/objects/045a.jpg,stimuli/objects/008a.jpg,stimuli/objects/008b.jpg,stimuli/objects/045b.jpg,stimuli/objects/045a.jpg,dist1,dist2,lure,target
